Name,Bronze PR,Bronze WR,Silver PR,Silver WR,Gold PR,Gold WR,Platinum PR,Platinum WR,Diamond PR,Diamond WR,Grandmaster PR,Grandmaster WR,Celestial+ PR,Celestial+ WR
Cloak & Dagger,25.37%,49.22%,27.59%,48.54%,28.56%,48.66%,28.22%,48.67%,25.69%,48.25%,18.97%,46.69%,8.29%,42.44%
Jeff the Land Shark,18.16%,46.99%,16.85%,47.85%,15.31%,48.63%,13.88%,49.79%,13.20%,50.99%,13.25%,52.09%,14.23%,52.74%
Emma Frost,15.88%,49.10%,17.64%,48.65%,16.42%,49.45%,14.36%,50.20%,12.57%,50.46%,11.45%,50.62%,14.96%,51.05%
Invisible Woman,13.57%,48.28%,14.09%,47.69%,15.27%,47.70%,16.24%,47.71%,16.70%,47.93%,16.93%,48.00%,16.68%,47.93%
Luna Snow,13.05%,48.48%,12.96%,47.71%,13.16%,46.83%,14.52%,46.38%,16.42%,46.42%,19.63%,47.41%,23.65%,48.12%
Doctor Strange,12.54%,49.99%,14.57%,49.66%,17.16%,49.88%,20.24%,49.89%,22.25%,49.79%,21.71%,49.20%,15.62%,47.87%
Rocket Raccoon,12.38%,55.69%,14.56%,55.61%,16.06%,55.50%,16.91%,55.67%,18.36%,55.87%,21.13%,55.49%,24.70%,54.03%
Peni Parker,11.37%,53.35%,11.38%,54.14%,9.94%,55.12%,7.02%,56.62%,5.17%,58.06%,4.09%,58.58%,3.36%,58.31%
Magneto,10.43%,48.74%,11.83%,48.19%,13.65%,47.94%,15.91%,47.73%,18.66%,48.01%,22.55%,48.98%,27.92%,49.90%
Venom,9.55%,47.87%,8.31%,48.88%,7.74%,49.75%,7.50%,50.80%,7.20%,51.93%,7.21%,53.15%,8.63%,53.15%
ANGELA,9.34%,54.20%,7.49%,54.94%,6.47%,55.11%,6.09%,55.44%,6.20%,55.40%,6.69%,54.92%,7.88%,54.16%
Moon Knight,8.64%,47.80%,9.40%,47.66%,10.36%,48.21%,10.38%,48.70%,9.18%,48.61%,6.41%,47.52%,2.81%,45.04%
Thor,8.45%,52.73%,8.38%,52.47%,8.91%,52.51%,9.37%,52.49%,8.97%,52.20%,7.84%,51.78%,5.65%,49.41%
DAREDEVIL,7.99%,54.66%,7.57%,55.03%,6.11%,54.63%,5.53%,54.20%,5.73%,53.87%,5.99%,53.83%,6.33%,54.90%
