Name,Rivals_uid
Nеcrize,465451418
Sypeh,670067075
이페,521707389
Valentina Eve,1463808624
Екатерина,1367110328
ducky1,1068973218
viccers,484001693
Unovvn,893457830
LFT Unovvn,650247297
Beetlе,716155411
Wyni,1522984376
ƒraud,22798234
VIOL2TsDiscipl,1780898879
NAVI Raajaro,1474829183
CR SeungHoon,1193905797
dridro,2794990
bedtime5tory,1988565808
kappapeppapig,732127368
energу,1227423758
Malenia,1999550950
WooflesLuver,1845922603
-oo- <---MyPig,328918796
Free L,979720638
Memoriesss,1723390025
CaptainRex.,981139918
LvPalico,336012294
CH0MG FMCL,346709846
еusher,252081131
falleŋ,1385589778
VP Sypeh,1387564419
Vеlocity,1922478665
6'3Dreadhead,509895228
mаsh,854671530
finaIe_,692835851
mirrоr,1957506385
kq43,2021981784
nx >_<,1632463162
nectar,634261528
Finnsi,1651337303
Milkboy,1936082675
аres.,1459486217
FlyingToaster3,198094645
TAP13,77749781
TimTheTatmаn,791221660
alura,1195799903
Vinniе,1048390571
.Tanooki.,1824619983
AbooHuu,897824727
kаyа,376002454
Woofles.,1471579844
Oasis.-,897089248
ŤTK,2098842413
ENVY shpeediry,1677216165
snayz,762309261
FullMetalLamps,95209077
HavocHM,1636011130
DogeBiceps,1819251256
month,1311708461
valleу,715862053
supavoidmeplz,1480625021
robloxpro8472,1258168979
NV sheep diary,1197495745
Malouki,875554618
Flamay,1488831957
dоinb,774162604
래원이방구,1989220681
Zcube,208542408
041022,1072080
renko_,686044812
Myraxysᵗᵛ,1988171076
ΒΜΧ,433042153
SparkR,1308558579
nrg,77293184
Ŧonez,1031373810
touchgrassplss,489400934
LaμreLs,308583545
shaiwwlo,1168810369
snakeCase2,869239239
Аlura,1396514236
Jøеy,837298773
Loubanger,2133420295
FollowMe-ttv,1986524246
FrostMountain,1259772234
TSM COMADON,1419815935
YZNSA,196539459
yiigi,1670083206
Healis_TTV,726053674
humblefemboy.,1274663585
''WANHEDA'',1676045681
Zibbbbbbbbbbbb,1506095219
pixelec,1271395708
Impuniti,1290955273
Karova,1710082533
FaZe Dilly,1739677480
ValheimNPC,1271103350
criatic3,1184755514
jobezzz,1770573475
WooflesNo.1Fan,1690346274
FrankyBoxing,288274740
Smashᅟ,1231005255
