name,role,matches,wins,kills,deaths,assists,play_time,total_hero_damage,total_damage_taken,total_hero_heal,mvps,svps
mantis,Strategist,1109,694,13255,5937,30883,12534.66,9791727.22,9663753.970000003,20301044.61,18,18
gambit,Strategist,2779,1669,48198,13874,63884,32252.589999999997,25953669.919999998,22581907.919999998,80088624.71000001,588,357
ultron,Strategist,1444,814,26674,6639,30494,15821.709999999997,19154234.58,10102361.419999998,19517073.49,68,64
adam warlock,Strategist,1632,936,23459,12807,18299,18310.739999999998,18910897.95,15226298.59,24197032.820000004,128,83
loki,Strategist,1918,1088,28456,8560,37641,21807.569999999996,17752242.97,12364561.490000002,36790634.82999999,208,133
invisible woman,Strategist,2378,1390,38508,10700,54638,27310.71,26072119.99,35083251.92000001,75321962.79,349,234
captain america,Vanguard,2069,1240,36547,9816,6482,23213.409999999996,26685264.96,54979776.53999999,147579.87,257,168
cloak & dagger,Strategist,2231,1164,32466,11394,60670,26097.19,17907139.0,17751098.98,64894511.160000004,69,67
thor,Vanguard,4087,2296,82508,24191,13354,45937.6,72490805.67,99715066.66,0.0,359,256
doctor strange,Vanguard,2462,1400,52230,12993,5346,28139.300000000003,44410860.71999999,90319287.22999999,14.4,412,294
namor,Duelist,1605,901,37323,9929,2507,17733.46,30119172.090000004,14131391.500000002,112.5,218,129
rocket raccoon,Strategist,2970,1773,16038,11123,72418,33448.340000000004,5477894.59,14249695.720000003,71211926.28,41,28
hela,Duelist,1453,908,34098,9931,2084,15913.790000000005,28008064.360000003,11151081.139999999,0.0,256,113
black widow,Duelist,2990,1540,62396,20971,9634,33934.229999999996,47000409.37,19804528.879999995,373082.26,907,711
jeff the land shark,Strategist,3229,1837,58125,16330,76458,36195.99,34330236.019999996,22198771.340000004,74802186.8,221,156
hawkeye,Duelist,2969,1687,63209,21116,3666,32387.129999999997,54196326.86000001,29237430.02,154813.16,697,383
iron man,Duelist,1948,1117,44157,12319,148,21716.63,36566468.620000005,15149016.940000001,0.0,259,163
star-lord,Duelist,2381,1352,57730,13451,135,26844.839999999997,46217218.72,20054095.05,16.13,438,274
spider-man,Duelist,3014,1785,63940,22913,13692,34329.99,34755792.4,20803832.8,0.0,632,478
luna snow,Strategist,1561,819,18798,8200,30870,18129.95,11605102.68,14448359.859999998,43995692.980000004,102,89
the punisher,Duelist,1162,693,27703,9339,86,13254.309999999998,27172877.479999997,15142033.630000003,0.0,285,138
groot,Vanguard,1874,1171,41733,9812,7482,21072.73,40016048.09,88769102.43999997,855383.9299999997,319,133
moon knight,Duelist,2579,1492,64676,17717,188,29099.420000000002,64278932.13,24718678.91,0.0,527,305
mister fantastic,Duelist,2561,1534,55476,16227,14188,29241.060000000005,54804655.19,60366074.15,0.0,176,130
psylocke,Duelist,1421,884,35406,8725,92,15851.56,27209603.91,11281417.42,0.0,396,197
phoenix,Duelist,1873,1045,41610,10994,3461,21168.93,43246293.48,18608278.479999997,2633936.7299999995,517,306
winter soldier,Duelist,1881,1040,41630,11946,9297,20930.4,39388297.48,22886627.49,0.0,173,122
emma frost,Vanguard,2298,1308,49296,11956,11829,26278.950000000008,45137448.000000015,71017952.69999999,1.72,285,154
peni parker,Vanguard,2951,1889,47266,14175,47484,31363.479999999996,39401974.86000001,74239115.68,11855708.139999999,193,124
wolverine,Duelist,2383,1432,44432,13035,8790,26079.280000000002,33979320.1,37250292.99999999,1398614.19,375,212
human torch,Duelist,854,481,18855,5008,77,9689.21,15894332.929999996,6614121.14,0.0,219,102
black panther,Duelist,1460,866,26574,10912,97,16278.910000000002,18904556.42,10761815.750000002,0.0,136,99
storm,Duelist,1856,1094,44744,13147,37897,20780.820000000003,39268274.46,17850016.179999996,0.0,114,73
magik,Duelist,3266,2005,69859,21553,1572,35860.829999999994,60601973.81000001,33525386.72,72.88,390,204
daredevil,Duelist,1788,1174,45641,12694,18954,19707.510000000002,33930218.32,27977824.37,61429.189999999995,850,345
hulk,Vanguard,2984,1637,53335,13120,12652,33882.909999999996,42027718.760000005,99607715.63999997,30.33,318,291
magneto,Vanguard,3032,1738,55810,16347,12251,33395.48,55416522.940000005,99759026.52,53.82,499,271
angela,Vanguard,2558,1526,51013,12676,10133,28455.409999999993,31915154.470000006,53224512.44,30.0,294,225
the thing,Vanguard,2220,1246,40766,13514,17905,24912.140000000007,39859445.61,72676065.85999998,211.1,178,116
venom,Vanguard,2244,1357,44461,11034,13037,25797.339999999997,36137390.620000005,73440030.34999998,3.38,301,173
iron fist,Duelist,4049,2284,81264,28188,792,45585.98000000001,63489670.06,53709865.35000002,2349142.4199999995,757,471
squirrel girl,Duelist,1342,779,29125,8931,2499,15485.39,32024421.360000003,12014813.010000002,0.0,227,142
scarlet witch,Duelist,2345,1259,56585,14897,4280,27010.75,43539996.28,20284443.679999996,15.0,222,190
