Star-Lord,Adam Warlock,Magneto,Daredevil,Namor,Captain America,Venom,Peni Parker,Phoenix,Iron Fist,Luna Snow,Jeff The Land Shark,Cloak & Dagger,Winter Soldier,Doctor Strange,Vanguard,Bruce Banner,Duelist,Rocket Raccoon,Emma Frost,Invisible Woman,Moon Knight,Groot,Angela,Mantis,Thor,Ultron,Blade,Mister Fantastic,Hela,Name,Psylocke,Strategist
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAVI Jur3ky,,
,,61.9%,,,,,,,,,,,,29.6%,64.8%,,50.0%,,71.2%,,,,,,,,,,,sokо,,0.0%
,,,,,,,,,,89.8%,,,,,91.1%,,100.0%,82.4%,,65.2%,,,,,,,,,,cоopertastic,,78.1%
62.0%,,,,,,,,,,,,,80.7%,,50.0%,,66.7%,,,,,,,,,,,,70.5%,nectar,,54.2%
,,,,,,,,,,,,93.5%,,,100.0%,,91.4%,98.1%,,,,,,,,,,,89.5%,Sypeh,,95.7%
,,,,,,,,,,,44.4%,,,,100.0%,,70.0%,75.4%,,79.8%,,,,,,,,,,VP Sypeh,,68.6%
,100.0%,,,,,,,,,,,,,,,,,100.0%,,85.1%,,,,,,,,,,이페,,91.7%
,73.2%,,,,,,,,,100.0%,,,,,0.0%,,,,,91.3%,,,,,,,,,,Екатерина,,86.1%
,,,,89.4%,,,,,,,,,45.5%,,94.7%,,66.8%,,,,,,,,,,,,,balas33,66.7%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,humblerestard,,
100.0%,,,,100.0%,,,,,,,,,,,,,100.0%,,,,,,,,,,,,,SparkR,,
,,,,,69.8%,,,,,,,,,,76.1%,,22.2%,,76.3%,,,,82.9%,,,,,,,CaptainRex.,,
,,,72.8%,,,,,,,,,,77.8%,,66.7%,,70.3%,,,,,,,,,,,,58.5%,Rymazing,,54.1%
,,,,,,,,,,,,,51.5%,,65.0%,,63.0%,,,,,,,,,,,,80.2%,energу,67.0%,55.6%
,,,,,,,,100.0%,,,,,81.0%,,68.8%,,84.1%,,,,,,,,,,,,,balas²,87.8%,50.0%
,,,,,,,,,,59.6%,,,,,75.0%,,0.0%,43.5%,,49.6%,,,,,,,,,,SJW FAN 67,,59.2%
,,40.0%,,,,81.7%,,,,,,,,,55.1%,,72.2%,,,,,,51.2%,,,,,,,easycurrysnipr,,71.4%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nevix,,
,,42.8%,,,,,,,,,,,,,58.2%,,0.0%,,69.5%,,,63.6%,,,,,,,,ic篠澤広ㅎ_햐,,69.8%
,,64.0%,,,,,,,,,,,,,66.4%,,0.0%,,79.2%,,,63.1%,,,,,,,,сart,,17.6%
,,,61.2%,,,,,,,,,,,,55.3%,,52.3%,,,,31.9%,,45.9%,,,,,,,VeryStickyGuy,,59.7%
64.6%,,,,,,,,77.3%,,,,,57.7%,,67.7%,,68.0%,,,,,,,,,,,,,еusher,,69.1%
,,,45.9%,,,,,,,,,,68.6%,,22.2%,,51.7%,,,,,,,,,,,,,ENVY shpeediry,39.3%,0.0%
,,,,,65.5%,,,,,,,,,65.2%,59.4%,,27.5%,,47.2%,,,,,,,,,,,Finnsi,,83.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wada124,,
,,,,,,,,65.5%,,,,,78.1%,,40.7%,,64.9%,,,,,,,,,,,,,humblenооb,65.4%,80.0%
,,,,,,,,,,,,,,,,,45.9%,91.1%,,,,,,100.0%,,,,,,svald1,45.9%,92.5%
,,52.5%,,,,,,,,,,,,,57.8%,,18.2%,,61.4%,,,61.1%,,,,,,,,ducky1,,75.6%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xantho.,,
,,,76.2%,,,,,,,,,,70.1%,,100.0%,,71.8%,,,,,,,,,,69.4%,,,EatingTacosRn,,0.0%
,,,,,,,,,,,,,,66.0%,65.0%,,56.3%,,,,65.1%,,,,,,,61.3%,,Vammanen apina,,28.8%
,,66.7%,,,,,,,,,67.9%,,,,55.2%,,23.8%,68.6%,,,,,,,,,,,,Monke',,67.7%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XEYTEX,,
,,,,67.4%,,,,,,,,,72.9%,,80.8%,,70.6%,,,,,,,,,,,,,balas.,63.5%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malouki,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blaxou2,,
53.1%,,,61.6%,,,,,,,,,,58.8%,,90.0%,,53.8%,,,,,,,,,,,,,NV sheep diary,,4.2%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lugiagoat,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauve,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ifineverfeel,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAVI Raajaro,,
,,,63.9%,,,,,,54.9%,,,,,,0.0%,,56.6%,,,,,,,,,,33.7%,,,EatingPizzaRn,,
,,,,,,,,,,81.4%,98.5%,,,,50.0%,,100.0%,,,74.5%,,,,,,,,,,BxbyHarley,,87.1%
,,,,,,,,,,,63.5%,,,,66.4%,,94.6%,,77.6%,,,,,,64.0%,,,,,Unovvn,,63.8%
84.3%,,,,,,,,,,,,,,,42.1%,,72.0%,,,,,,,,,,,,37.4%,LFT Doomed,95.8%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SmashNezz,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dueр,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Window,,
,,56.8%,,,,,,,,,,,,,62.5%,,,,50.0%,,,100.0%,,,,,,,,Аlura,,100.0%
66.4%,,,,,,,,,,,38.6%,,67.5%,,55.0%,,62.0%,,,,,,,,,,,,,TSM COMADON,,42.6%
,,,37.1%,,,100.0%,,,,,,,,,70.1%,,56.6%,,,,,,60.0%,,,,,,,masqqq,,57.9%
76.9%,,,,,,,,80.5%,,,,,,,0.0%,,71.2%,,,,,,,,,,,,,ENVY TAP,73.8%,100.0%
,,,,,,,,,,,,,78.2%,,44.2%,,74.0%,,,,,,,,,,,,75.3%,frеakbob,73.8%,7.1%
84.1%,,,,,,,,,,,,,,,54.5%,,73.1%,,,,,,,,,,,,76.7%,poor',57.1%,75.6%
,,,,,,,,,,,66.5%,,,,50.9%,,2.2%,47.1%,,56.2%,,,,,,,,,,Wyni,,56.1%
48.8%,100.0%,,,100.0%,,,,,,,,,,,66.7%,,66.2%,,,,,,,,,,,,,stravery,,69.6%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mirrоr,,
,,,90.9%,,,,60.4%,,,,,,,,60.7%,,90.9%,,,,,,62.0%,,,,,,,Eshego,,55.6%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuchsiа,,
70.7%,,,,,,,,55.6%,,,,,,,69.7%,,57.8%,,,,,,,,,,,,62.1%,Doomеd,,100.0%
,,,,,,,,68.1%,,,37.1%,,53.2%,,63.8%,,58.6%,,,,,,,,,,,,,m0xyyy,,51.5%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPS_leftNUT,,
,,59.5%,,,,,,,,,,,,,62.1%,,,,61.6%,,,93.5%,,,,,,,,CR JT3,,90.9%
,,,,,,,,,,,45.5%,,,,9.1%,,,76.5%,,70.7%,,,,,,,,,,renko_,,59.8%
,,,,,,,,,,65.9%,,,43.6%,,45.6%,,53.8%,,,,,,,,,,,,54.3%,рrism,,55.7%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SilxntBlazee,,
,,,,,,,,56.7%,,,,,61.3%,,89.5%,,58.8%,,,,,,,,,,,,54.9%,6'3Dreadhead,,64.3%
,,,,,,,,60.5%,,,,,,,51.4%,,56.9%,,,,,,,,,,,,70.2%,ƒraud,58.8%,45.8%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kappapeppapig,,
,,,,,,,,,,59.6%,,,,,57.4%,,8.3%,48.3%,,62.8%,,,,,,,,,,래원이방구,,60.5%
,,,,,,,,,,60.8%,,,,,0.0%,,0.0%,,,64.7%,,,,,,77.8%,,,,Memoriesss,,60.1%
62.3%,,,67.0%,,,,,,,,,,,,50.7%,,55.3%,,,,,,,,,,,,,douge⁶⁷,39.8%,75.8%
